OGS	sub_rate	Avg_record	align_len	No_seq	recovery	meanGC
EOG706BF5	0.284188034188	271.811320755	468	53	high	40.8232297007386
EOG7096P7	0.168367346939	333.777777778	588	9	low	36.5297715386679
EOG7096PV	0.212454212454	244.811320755	546	53	high	32.840918760487
EOG70D2WK	0.248205128205	496.78	975	50	high	41.144146673001
EOG70D2X1	0.292517006803	212.788461538	294	52	high	38.1349223579525
EOG70GZ4H	0.239401496259	418.041666667	802	48	high	39.7860684831018
EOG70GZ4T	0.222551928783	447.256410256	674	39	medium	42.7466692180618
EOG70GZ5P	0.169369369369	284.866666667	555	45	high	33.104869828665
EOG70KTDP	0.357142857143	370.540540541	588	37	medium	38.5122292512411
EOG70SJV4	0.283536585366	433	656	52	high	41.4112223191623
EOG70WF3D	0.285322359396	416.238095238	729	42	high	38.1085208709648
EOG7109BR	0.233657858136	498.622641509	719	53	high	36.6803502728178
EOG7135JR	0.241134751773	234.875	423	48	high	41.9990978574275
EOG7135K5	0.258234519104	500.811320755	759	53	high	44.2874319058226
EOG7161T6	0.296	444.169811321	625	53	high	42.1137347308029
EOG7161TN	0.220657276995	290.055555556	426	36	medium	39.6806294555587
EOG718X27	0.304964539007	985.92	1410	50	high	48.7689038789188
EOG71GNHH	0.254166666667	498.325	720	40	medium	37.2401295196039
EOG71GNHT	0.329073482428	645.085106383	939	47	high	44.6827046601597
EOG71KHS1	0.273127753304	429.6875	681	48	high	38.3874288574154
EOG71KHS5	0.311949685535	513.692307692	795	52	high	41.7098454888273
EOG71KHSJ	0.3125	316.408163265	480	49	high	40.0229741728559
EOG71PD0D	0.324534161491	305.060606061	644	33	medium	42.8472469401108
EOG71S878	0.266719745223	980.37254902	1256	51	high	37.5116440261057
EOG71W4GP	0.32252559727	300.229166667	586	48	high	37.6630994192182
EOG7200Q8	0.283428571429	547.282608696	875	46	high	48.0605333816896
EOG7200QX	0.202979515829	255.346153846	537	52	high	40.0884803247705
EOG7200R3	0.375683060109	454.85106383	732	47	high	38.111119062648
EOG722VZW	0.233333333333	471.739130435	840	46	high	37.4633847496848
